NO,LOWER,UPPER,FTXSIZE,DERRIBITSIZE
1,0.498,0.5,1,1
2,0.496,0.498,2,2
3,0.494,0.496,3,3
4,0.492,0.494,4,4
5,0.49,0.492,5,5
6,0.488,0.49,6,6
7,0.486,0.488,7,7
8,0.484,0.486,8,8
9,0.482,0.484,9,9
10,0.48,0.482,10,10
11,0.478,0.48,11,11
12,0.476,0.478,12,12
13,0.474,0.476,13,13
14,0.472,0.474,14,14
15,0.47,0.472,15,15
16,0.468,0.47,16,16
17,0.466,0.468,17,17
18,0.464,0.466,18,18
19,0.462,0.464,19,19
20,0.46,0.462,20,20
21,0.458,0.46,21,21
22,0.456,0.458,22,22
23,0.454,0.456,23,23
24,0.452,0.454,24,24
25,0.45,0.452,25,25
26,0.448,0.45,26,26
27,0.446,0.448,27,27
28,0.444,0.446,28,28
29,0.442,0.444,29,29
30,0.44,0.442,30,30
31,0.438,0.44,31,31
32,0.436,0.438,32,32
33,0.434,0.436,33,33
34,0.432,0.434,34,34
35,0.43,0.432,35,35
36,0.428,0.43,36,36
37,0.426,0.428,37,37
38,0.424,0.426,38,38
39,0.422,0.424,39,39
40,0.42,0.422,40,40
41,0.418,0.42,41,41
42,0.416,0.418,42,42
43,0.414,0.416,43,43
44,0.412,0.414,44,44
45,0.41,0.412,45,45
46,0.408,0.41,46,46
47,0.406,0.408,47,47
48,0.404,0.406,48,48
49,0.402,0.404,49,49
50,0.4,0.402,50,50
51,0.398,0.4,51,51
52,0.396,0.398,52,52
53,0.394,0.396,53,53
54,0.392,0.394,54,54
55,0.39,0.392,55,55
56,0.388,0.39,56,56
57,0.386,0.388,57,57
58,0.384,0.386,58,58
59,0.382,0.384,59,59
60,0.38,0.382,60,60
61,0.378,0.38,61,61
62,0.376,0.378,62,62
63,0.374,0.376,63,63
64,0.372,0.374,64,64
65,0.37,0.372,65,65
66,0.368,0.37,66,66
67,0.366,0.368,67,67
68,0.364,0.366,68,68
69,0.362,0.364,69,69
70,0.36,0.362,70,70
71,0.358,0.36,71,71
72,0.356,0.358,72,72
73,0.354,0.356,73,73
74,0.352,0.354,74,74
75,0.35,0.352,75,75
76,0.348,0.35,76,76
77,0.346,0.348,77,77
78,0.344,0.346,78,78
79,0.342,0.344,79,79
